lat,lon,distkm,norm_dist,B2,B3,B4,ndti,dwl,system
31.58377,-97.20635,0,0,303,420,242,-0.26888,530,waco
31.90077,-103.91350,0,0,124,213,131,-0.23837,551,redbluff
33.76311,-98.36111,0,0,606,768,545,-0.16984,538,arrowhead
31.58143,-97.20712,0.27,0.02736,296,408,229,-0.281,527,waco
31.83945,-99.00742,0.453,0,440,517,351,-0.19124,516,brownwood
31.90427,-103.91590,0.45,0.02848,163,243,158,-0.21197,547,redbluff
33.65068,-96.13758,0.119,0,863,653,558,-0.07845,474,bonham
33.76069,-98.36094,0.27,0.01862,615,772,529,-0.18678,532,arrowhead
31.50551,-99.67484,0.839,0,447,500,298,-0.25313,503,ohivie
31.57917,-97.20789,0.531,0.0538,317,421,246,-0.26237,525,waco
31.84076,-99.01154,0.869,0.04141,442,525,366,-0.17845,521,brownwood
31.90806,-103.91727,0.889,0.05627,262,320,230,-0.16364,533,redbluff
33.65054,-96.13938,0.287,0.04665,179,147,100,-0.19028,485,bonham
33.75812,-98.36094,0.555,0.03828,595,744,513,-0.18377,532,arrowhead
31.50792,-99.67561,1.12,0.01506,399,434,237,-0.29359,500,ohivie
31.57675,-97.20858,0.807,0.08176,309,420,252,-0.25,531,waco
31.84237,-99.01531,1.27,0.08132,354,429,260,-0.24528,513,brownwood
31.91156,-103.91830,1.29,0.08165,291,365,280,-0.13178,547,redbluff
33.65054,-96.14101,0.439,0.08886,303,236,138,-0.26203,485,bonham
33.75598,-98.35991,0.81,0.05586,604,751,538,-0.16524,536,arrowhead
31.51107,-99.67286,1.55,0.0381,125,122,78,-0.22,494,ohivie
31.57463,-97.20969,1.06,0.1074,323,421,259,-0.23824,527,waco
31.84003,-99.01875,1.68,0.12213,314,395,238,-0.24803,518,brownwood
31.91535,-103.91830,1.71,0.10823,241,332,233,-0.17522,547,redbluff
33.65054,-96.14265,0.59,0.1308,187,139,91,-0.2087,482,bonham
33.75298,-98.35854,1.17,0.08069,580,747,508,-0.19044,536,arrowhead
31.51414,-99.67046,1.96,0.06007,179,163,94,-0.26848,491,ohivie
31.57273,-97.21029,1.28,0.12969,329,417,261,-0.23009,523,waco
31.83741,-99.02115,2.05,0.15895,300,381,219,-0.27,516,brownwood
31.91884,-103.91899,2.1,0.13291,272,356,255,-0.1653,544,redbluff
33.65025,-96.14402,0.721,0.16718,246,193,130,-0.19505,483,bonham
33.75027,-98.35596,1.55,0.1069,613,769,542,-0.17315,536,arrowhead
31.517651999999998,-99.66737,2.45,0.08633,331,357,190,-0.3053,499,ohivie
31.57127,-97.21115,1.46,0.14792,317,411,252,-0.23982,525,waco
31.83449,-99.02304,2.42,0.19578,378,470,303,-0.21604,522,brownwood
31.92380,-103.91933,2.65,0.16772,305,401,277,-0.18289,541,redbluff
33.64997,-96.14659,0.962,0.2341,412,401,303,-0.1392,494,bonham
33.74713,-98.35373,1.96,0.13517,557,718,496,-0.18287,538,arrowhead
31.51956,-99.66565,2.72,0.1008,134,107,68,-0.22286,485,ohivie
31.56908,-97.21227,1.73,0.17528,320,416,256,-0.2381,526,waco
31.83201,-99.02596,2.81,0.2346,345,419,251,-0.25075,513,brownwood
31.92729,-103.92071,3.06,0.19367,310,405,286,-0.17221,542,redbluff
33.64997,-96.14780,1.07,0.26409,276,294,205,-0.17836,502,bonham
33.74399,-98.35201,2.34,0.16138,489,661,426,-0.21619,537,arrowhead
31.56681,-97.21364,2.01,0.20365,324,416,257,-0.23626,524,waco
31.82968,-99.02853,3.17,0.27043,376,453,285,-0.22764,514,brownwood
31.93196,-103.92208,3.59,0.22722,285,410,270,-0.20588,545,redbluff
33.64968,-96.14883,1.17,0.29186,258,240,156,-0.21212,491,bonham
33.74085,-98.35064,2.71,0.1869,596,873,711,-0.10227,560,arrowhead
31.52665,-99.66067,3.64,0.1501,355,418,230,-0.29012,506,ohivie
31.56513,-97.21484,2.23,0.22594,302,410,248,-0.2462,531,waco
31.82735,-99.03248,3.62,0.31522,366,448,272,-0.24444,514,brownwood
31.93691,-103.92448,4.19,0.26519,368,477,354,-0.14801,547,redbluff
33.64933,-96.15003,1.29,0.32519,272,281,182,-0.21382,498,bonham
33.73814,-98.34892,3.05,0.21034,629,866,683,-0.11814,556,arrowhead
31.52994,-99.65930,4.03,0.171,180,163,101,-0.23485,490,ohivie
31.56286,-97.21656,2.53,0.25633,315,421,242,-0.26998,525,waco
31.82676,-99.03608,3.97,0.35005,491,576,407,-0.17192,520,brownwood
31.94186,-103.92723,4.8,0.3038,328,447,317,-0.17016,547,redbluff
33.64883,-96.15166,1.45,0.36962,278,295,195,-0.20408,500,bonham
33.73485,-98.34909,3.41,0.23517,603,849,672,-0.11637,557,arrowhead
31.53272,-99.65939,4.34,0.18761,196,162,108,-0.2,485,ohivie
31.56059,-97.21802,2.82,0.28571,317,406,243,-0.25116,521,waco
31.82603,-99.04089,4.43,0.39584,420,520,344,-0.2037,525,brownwood
31.94623,-103.93032,5.36,0.33924,342,437,299,-0.1875,535,redbluff
33.64840,-96.15312,1.6,0.41127,313,322,218,-0.19259,498,bonham
33.73128,-98.34961,3.81,0.26276,617,859,694,-0.10625,558,arrowhead
31.53419,-99.66316,4.73,0.20851,305,345,188,-0.29456,503,ohivie
31.55862,-97.21862,3.04,0.308,322,413,254,-0.23838,524,waco
31.82633,-99.04518,4.84,0.43665,449,601,362,-0.24818,529,brownwood
31.94973,-103.93513,5.96,0.37722,405,537,395,-0.15236,548,redbluff
33.64811,-96.15466,1.74,0.45015,329,363,241,-0.20199,505,bonham
33.72772,-98.35047,4.22,0.29103,621,871,683,-0.12098,557,arrowhead
31.53492,-99.66763,5.16,0.23155,336,380,220,-0.26667,504,ohivie
31.55591,-97.22008,3.38,0.34245,314,413,254,-0.23838,528,waco
31.82618,-99.04879,5.18,0.47049,405,554,307,-0.28688,525,brownwood
31.95322,-103.93993,6.56,0.41519,352,473,362,-0.13293,553,redbluff
33.64775,-96.15595,1.87,0.48625,313,340,231,-0.19089,503,bonham
33.72486,-98.35218,4.57,0.31517,650,902,743,-0.09666,560,arrowhead
31.53624,-99.67389,5.78,0.26478,325,383,211,-0.28956,506,ohivie
31.55306,-97.22119,3.71,0.37589,344,430,273,-0.22333,522,waco
31.82676,-99.05445,5.72,0.52424,433,584,326,-0.28352,524,brownwood
31.95818,-103.94302,7.18,0.45443,298,457,284,-0.23347,546,redbluff
33.64775,-96.15732,2,0.52235,308,333,209,-0.22878,501,bonham
33.72115,-98.35442,5.03,0.3469,678,967,846,-0.06674,564,arrowhead
31.53894,-99.67956,6.39,0.29747,362,426,234,-0.29091,506,ohivie
31.55109,-97.22231,3.95,0.4002,332,439,274,-0.23142,530,waco
31.82647,-99.05926,6.18,0.57002,370,520,265,-0.32484,523,brownwood
31.96254,-103.94474,7.69,0.48671,320,478,308,-0.21628,547,redbluff
33.64761,-96.15895,2.15,0.56401,296,309,199,-0.21654,498,bonham
33.71786,-98.35716,5.48,0.37793,674,978,880,-0.05274,566,arrowhead
31.54114,-99.68170,6.71,0.31461,362,426,229,-0.30076,506,ohivie
31.54831,-97.22394,4.3,0.43566,337,440,264,-0.25,524,waco
31.82574,-99.06475,6.7,0.62178,432,633,335,-0.30785,531,brownwood
31.96895,-103.94577,8.41,0.53228,206,369,205,-0.28571,548,redbluff
33.64747,-96.16033,2.28,0.60011,384,405,303,-0.14407,503,bonham
33.71167,-98.36197,6.29,0.43379,694,986,909,-0.04063,567,arrowhead
31.54382,-99.68179,7.01,0.33069,361,432,225,-0.31507,506,ohivie
31.54618,-97.22480,4.55,0.46099,332,445,275,-0.23611,532,waco
31.82501,-99.06956,7.17,0.66856,565,783,484,-0.23599,536,brownwood
31.97390,-103.94577,8.96,0.56709,244,431,248,-0.26951,549,redbluff
33.64718,-96.16170,2.41,0.63621,431,474,361,-0.13533,513,bonham
33.70653,-98.36746,7.06,0.4869,725,1064,1090,0.01207,572,arrowhead
31.54319,-97.22660,4.92,0.49848,338,457,273,-0.25205,530,waco
31.54609,-99.68179,7.26,0.34409,359,449,233,-0.31672,510,ohivie
31.82735,-99.07299,7.58,0.70937,726,959,696,-0.15891,546,brownwood
31.97798,-103.94714,9.43,0.59684,226,402,223,-0.2864,547,redbluff
33.64732,-96.16367,2.59,0.6862,302,354,235,-0.20204,514,bonham
33.70282,-98.37330,7.74,0.53379,733,1066,1093,0.01251,572,arrowhead
31.54026,-97.22797,5.27,0.53394,306,416,244,-0.26061,529,waco
31.54814,-99.68162,7.49,0.35641,386,455,258,-0.2763,507,ohivie
31.83041,-99.07831,8.19,0.77008,787,1055,764,-0.15998,548,brownwood
31.97922,-103.94723,9.56,0.60506,219,397,231,-0.26433,550,redbluff
33.64704,-96.16496,2.72,0.7223,308,381,270,-0.17051,534,bonham
33.69939,-98.38085,8.54,0.58897,767,1097,1116,0.00859,572,arrowhead
31.53763,-97.22926,5.59,0.56636,285,390,234,-0.25,532,waco
31.54975,-99.68157,7.67,0.36606,365,428,238,-0.28529,506,ohivie
31.98083,-103.94774,9.75,0.61709,233,418,237,-0.27634,549,redbluff
33.64697,-96.16651,2.86,0.76118,280,342,212,-0.23466,516,bonham
33.69653,-98.38669,9.16,0.63172,778,1113,1147,0.01504,572,arrowhead
31.53609,-97.22995,5.77,0.5846,283,382,225,-0.25865,528,waco
31.55240,-99.68205,7.96,0.3816,320,356,221,-0.23397,504,ohivie
31.83581,-99.08947,9.4,0.89051,843,1071,858,-0.11042,553,brownwood
31.98330,-103.94852,10,0.63291,290,494,312,-0.22581,552,redbluff
33.64661,-96.16805,3.01,0.80283,324,386,275,-0.16793,526,bonham
33.69339,-98.39321,9.86,0.68,767,1121,1219,0.04188,574,arrowhead
31.53360,-97.23124,6.07,0.61499,310,405,250,-0.23664,527,waco
31.55452,-99.68342,8.23,0.39607,340,370,230,-0.23333,502,ohivie
31.83697,-99.09342,9.8,0.93033,425,589,441,-0.14369,553,brownwood
31.98505,-103.94955,10.2,0.64557,343,555,380,-0.18717,554,redbluff
33.64575,-96.17020,3.23,0.86393,359,406,314,-0.12778,525,bonham
33.68939,-98.39973,10.6,0.73103,771,1146,1349,0.08136,577,arrowhead
31.53112,-97.23312,6.4,0.64843,324,436,282,-0.21448,537,waco
31.55701,-99.68574,8.58,0.41482,316,362,210,-0.26573,505,ohivie
31.83785,-99.09874,10.3,0.98009,636,938,682,-0.15802,554,brownwood
31.98650,-103.95075,10.4,0.65823,352,590,395,-0.19797,554,redbluff
33.64447,-96.17106,3.39,0.90836,434,508,412,-0.10435,545,bonham
33.68425,-98.40454,11.3,0.77931,783,1123,1360,0.09545,579,arrowhead
31.52716,-97.23621,6.93,0.70213,304,417,265,-0.22287,538,waco
31.56008,-99.68908,9.05,0.44001,362,409,250,-0.24127,505,ohivie
31.83712,-99.10046,10.5,1,587,891,617,-0.1817,552,brownwood
31.98731,-103.95324,10.7,0.67722,273,481,315,-0.20854,554,redbluff
33.64297,-96.17191,3.58,0.96112,504,585,495,-0.08333,551,bonham
33.68082,-98.41244,12.2,0.84138,792,1150,1376,0.08947,578,arrowhead
31.52475,-97.23930,7.32,0.74164,343,495,317,-0.21921,543,waco
31.56169,-99.69114,9.32,0.45448,387,436,271,-0.23338,505,ohivie
31.98658,-103.95530,10.9,0.68987,266,468,297,-0.22353,553,redbluff
33.64168,-96.17226,3.72,1,461,534,446,-0.0898,548,bonham
33.67997,-98.42205,13.1,0.90345,812,1176,1517,0.12662,581,arrowhead
31.52102,-97.24299,7.87,0.79737,375,547,354,-0.21421,545,waco
31.56352,-99.69509,9.74,0.47698,379,449,264,-0.25947,509,ohivie
31.98563,-103.95701,11.1,0.70253,220,418,238,-0.27439,551,redbluff
33.67939,-98.43063,13.9,0.95862,762,1145,1540,0.14711,582,arrowhead
31.51817,-97.24437,8.21,0.83181,463,685,474,-0.18205,551,waco
31.56483,-99.69775,10,0.49092,408,488,310,-0.22306,514,ohivie
31.98447,-103.95907,11.3,0.71519,178,387,216,-0.28358,553,redbluff
33.67968,-98.43784,14.5,1,721,1108,1576,0.17437,583,arrowhead
31.51495,-97.24686,8.64,0.87538,588,839,684,-0.10177,560,waco
31.56652,-99.70325,10.6,0.52307,463,553,385,-0.1791,523,ohivie
31.98308,-103.96139,11.6,0.73418,176,378,210,-0.28571,553,redbluff
31.51348,-97.24935,8.92,0.90375,666,950,822,-0.07223,563,waco
31.98192,-103.96388,11.9,0.75316,177,395,226,-0.27214,555,redbluff
31.51034,-97.24926,9.27,0.93921,666,954,855,-0.05473,565,waco
31.56630,-99.71226,11.4,0.56594,367,445,267,-0.25,512,ohivie
31.98061,-103.96603,12.1,0.76582,211,439,271,-0.23662,556,redbluff
31.50770,-97.24986,9.57,0.9696,718,1016,941,-0.03832,567,waco
31.97995,-103.96817,12.3,0.77848,293,519,361,-0.17955,557,redbluff
31.50551,-97.25175,9.87,1,606,893,773,-0.07203,564,waco
31.56564,-99.72316,12.5,0.62489,323,352,223,-0.22435,502,ohivie
31.56571,-99.72676,12.8,0.64096,440,477,354,-0.14801,507,ohivie
31.97886,-103.97375,12.9,0.81646,260,491,331,-0.19465,557,redbluff
31.56718,-99.72934,13.1,0.65704,398,455,302,-0.20211,510,ohivie
31.97995,-103.97530,13.1,0.82911,299,509,362,-0.16877,557,redbluff
31.98177,-103.97770,13.4,0.8481,315,540,361,-0.19867,555,redbluff
31.57778,-99.72711,14.3,0.72134,334,381,289,-0.13731,524,ohivie
31.98563,-103.98079,13.9,0.87975,323,543,403,-0.14799,559,redbluff
31.57961,-99.72616,14.5,0.73206,333,393,270,-0.18552,518,ohivie
31.98781,-103.98165,14.2,0.89873,283,517,362,-0.17634,558,redbluff
31.58202,-99.72642,14.8,0.74814,329,390,291,-0.14537,532,ohivie
31.99138,-103.98362,14.6,0.92405,179,398,268,-0.1952,559,redbluff
31.58918,-99.73406,16,0.81244,387,491,404,-0.09721,556,ohivie
32.00150,-103.97993,15.8,1,385,655,576,-0.06418,566,redbluff
31.58780,-99.73852,16.5,0.83924,427,509,408,-0.11014,546,ohivie
31.58092,-99.76204,19.5,1,596,723,751,0.019,574,ohivie
