longitude,latitude,system,turbidity,B2,B3,B4,dwl,ndti
-96.16529,33.64759,bonham,8.4,1301.5,1373,1258.5,551.73480224609375,-0.04351130533916017
-96.16528,33.64759,bonham,8.39,1301.5,1373,1258.5,551.73480224609375,-0.04351130533916017
-96.16527,33.64759,bonham,8.4,1306,1370,1242.5,552.67681884765625,-0.04880382775119617
-96.16525,33.64761,bonham,8.42,1306,1370,1242.5,552.67681884765625,-0.04880382775119617
-96.16523,33.64762,bonham,8.43,1306,1370,1242.5,552.67681884765625,-0.04880382775119617
-96.16522,33.64763,bonham,8.43,1306,1370,1242.5,552.67681884765625,-0.04880382775119617
-96.1652,33.64763,bonham,8.39,1306,1370,1242.5,552.67681884765625,-0.04880382775119617
-96.16518,33.64764,bonham,8.37,1314,1366,1233.5,547.3057861328125,-0.05097134064243124
-96.16517,33.64764,bonham,8.36,1314,1366,1233.5,547.3057861328125,-0.05097134064243124
-96.16515,33.64763,bonham,8.35,1314,1366,1233.5,547.3057861328125,-0.05097134064243124
-96.16514,33.64763,bonham,8.32,1314,1366,1233.5,547.3057861328125,-0.05097134064243124
-96.16513,33.64762,bonham,8.28,1314,1366,1233.5,547.3057861328125,-0.05097134064243124
-96.16512,33.64761,bonham,8.22,1314,1366,1233.5,547.3057861328125,-0.05097134064243124
-96.16511,33.6476,bonham,8.16,1314,1366,1233.5,547.3057861328125,-0.05097134064243124
-96.1651,33.64759,bonham,8.09,1305.5,1359,1232.5,548.42462158203125,-0.0488134285163033
-96.16509,33.64757,bonham,8.06,1305.5,1359,1232.5,548.42462158203125,-0.0488134285163033
-96.16508,33.64756,bonham,8.02,1303.5,1366,1233,550.05438232421875,-0.05117352828010773
-96.16506,33.64754,bonham,7.97,1303.5,1366,1233,550.05438232421875,-0.05117352828010773
-96.16505,33.64753,bonham,7.86,1303.5,1366,1233,550.05438232421875,-0.05117352828010773
-96.16503,33.64751,bonham,7.78,1303.5,1366,1233,550.05438232421875,-0.05117352828010773
-96.16502,33.6475,bonham,7.73,1303.5,1366,1233,550.05438232421875,-0.05117352828010773
-96.16499,33.64749,bonham,7.67,1289.5,1344,1226,556.17388916015625,-0.045914396887159536
-96.16497,33.64748,bonham,7.6,1289.5,1344,1226,556.17388916015625,-0.045914396887159536
-96.16495,33.64748,bonham,7.55,1289.5,1344,1226,556.17388916015625,-0.045914396887159536
-96.16492,33.64747,bonham,7.49,1286.5,1339.5,1224,555.79998779296875,-0.04505558806319485
-96.16489,33.64746,bonham,7.47,1286.5,1339.5,1224,555.79998779296875,-0.04505558806319485
-96.16485,33.64745,bonham,7.47,1286.5,1339.5,1224,555.79998779296875,-0.04505558806319485
-96.16481,33.64743,bonham,7.45,1287,1341.5,1226.5,556.39227294921875,-0.04478193146417445
-96.16477,33.64742,bonham,7.43,1287,1341.5,1226.5,556.39227294921875,-0.04478193146417445
-96.16474,33.6474,bonham,7.41,1279.5,1353,1229.5,558.8770751953125,-0.047821878025169406
-96.1647,33.64739,bonham,7.36,1279.5,1353,1229.5,558.8770751953125,-0.047821878025169406
-96.16467,33.64737,bonham,7.36,1274.5,1352.5,1235.5,560.65673828125,-0.045208655332302936
-96.16463,33.64735,bonham,7.38,1315.5,1364,1233.5,556.28033447265625,-0.05024061597690087
-96.1646,33.64733,bonham,7.33,1315.5,1364,1233.5,556.28033447265625,-0.05024061597690087
-96.16455,33.64731,bonham,7.33,1313.5,1357,1230.5,555.6126708984375,-0.04888888888888889
-96.16451,33.64728,bonham,7.28,1312.5,1351.5,1238.5,556.5008544921875,-0.04362934362934363
-96.16447,33.64726,bonham,7.27,1293.5,1344,1236,558.670166015625,-0.04186046511627907
-96.16444,33.64724,bonham,7.27,1293.5,1344,1236,558.670166015625,-0.04186046511627907
-96.16439,33.64721,bonham,7.24,1293.5,1344,1236,558.670166015625,-0.04186046511627907
-96.16435,33.64719,bonham,7.21,1295.5,1362,1232.5,558.55535888671875,-0.04991327808826364
-96.16431,33.64716,bonham,7.19,1295.5,1362,1232.5,558.55535888671875,-0.04991327808826364
-96.16427,33.64714,bonham,7.13,1297.5,1346,1233,557.69061279296875,-0.04381543233811555
-96.16423,33.64713,bonham,7.14,1297.5,1346,1233,557.69061279296875,-0.04381543233811555
-96.16418,33.64711,bonham,7.13,1287.5,1348.5,1237,560.018310546875,-0.04312512086637014
-96.16413,33.64709,bonham,7.09,1287.5,1348.5,1237,560.018310546875,-0.04312512086637014
-96.16408,33.64708,bonham,7.05,1290,1340.5,1234.5,558.879638671875,-0.04116504854368932
-96.16402,33.64706,bonham,6.99,1292.5,1346.5,1233,558.20697021484375,-0.044000775344058926
-96.16396,33.64705,bonham,6.97,1292.5,1346.5,1233,558.20697021484375,-0.044000775344058926
-96.16391,33.64704,bonham,6.96,1294.5,1344,1236,558.33447265625,-0.04186046511627907
-96.16385,33.64703,bonham,6.9,1294.5,1344,1236,558.33447265625,-0.04186046511627907
-96.16379,33.64702,bonham,6.91,1313,1339.5,1212,548.677734375,-0.04997060552616108
-96.16373,33.64701,bonham,6.86,1290,1339,1228.5,557.3475341796875,-0.043037974683544304
-96.16366,33.64701,bonham,6.82,1271.5,1354,1220.5,559.2528076171875,-0.051854729073606526
-96.1636,33.647,bonham,6.8,1271.5,1354,1220.5,559.2528076171875,-0.051854729073606526
-96.16353,33.647,bonham,6.77,1317,1362,1233,554.76947021484375,-0.04971098265895954
-96.16347,33.647,bonham,6.74,1345.5,1362.5,1268.5,557.1431884765625,-0.035727860129228434
-96.1634,33.64699,bonham,6.67,1345.5,1362.5,1268.5,557.1431884765625,-0.035727860129228434
-96.16332,33.64699,bonham,6.63,1341.5,1359,1259.5,555.83648681640625,-0.037998854305900324
-96.16325,33.64699,bonham,6.58,1335.5,1355.5,1249.5,553.79583740234375,-0.04069097888675624
-96.16318,33.64699,bonham,6.54,1321.5,1345,1238,552.9876708984375,-0.041424699961285325
